;;;;;;
;Наименование и адрес;АПО;ПнД;Cтом;Cтац;СМП
;"""Новая больница"" МО"" ООО 620109, Свердловская обл, Екатеринбург г, Заводская ул, дом № 29;";АПО;ПНД;СП;Стац;
;"""Медицинские технологии"" (""Здоровье 365"") АО 620075, Свердловская обл, Екатеринбург г, Кузнечная ул, дом № 83;";АПО;ПНД;;Стац;
;"""Студия-С"" ООО 620010, Свердловская обл, Екатеринбург г, Орденоносцев ул, дом № 8;";;;СС;;
;"""ПРИОР-М КС на Готвальда"" ООО 620107, Свердловская обл, Екатеринбург г, Готвальда ул, дом № 6, корпус 1;";;;СС;;
;"""Клиника Ставко"" ООО 620049, Свердловская обл, Екатеринбург г, Первомайская ул, дом № 118;";АПО;;;;
;"""ПЕАН"" ООО 620026, Свердловская обл, Екатеринбург г, Декабристов ул, дом № 51;";АПО;ПНД;;;
;"""ВИЗАВИ СП г. Екатеринбург"" ООО 620075, Свердловская обл, Екатеринбург г, Белинского ул, дом № 32;";;;СС;;
;"""Колибри"" ООО 620014, Свердловская обл, Екатеринбург г, Радищева ул, дом № 10;";;;СС;;
;"""Премьер Дент"" ООО 620014, Свердловская обл, Екатеринбург г, Попова ул, дом № 33А;";;;СС;;
;"""Парацельс"" МК"" (стоматология г. Екатеринбург) ООО 620131, Свердловская обл, Екатеринбург г, Крауля ул, дом № 76;";;;СС;;
;"""Олькор-Медик"" (""Академический СЦ"") ООО 620016, Свердловская обл, Екатеринбург г, Вильгельма де Геннина ул, дом № 34, кв.218;";;;СС;;
;"""Приор-М"" СК на Малышева ООО 620075, Свердловская обл, Екатеринбург г, Малышева ул, дом № 84;";;;СС;;
;"""Дэнт-Элит"" ООО 620089, Свердловская обл, Екатеринбург г, Тбилисский б-р, дом № 13;";;;СС;;
;"""Дентал-сервис+"" ООО 620026, Свердловская обл, Екатеринбург г, Тверитина ул, дом № 38, корпус 2;";;;СС;;
;"""Гелиосдент"" ООО 620012, Свердловская обл, Екатеринбург г, Победы ул, дом № 7;";;;СС;;
;"""ГБ № 41-Семейная медицина"" (""Династия"") ООО 620073, Свердловская обл, Екатеринбург г, Академика Шварца ул, дом № 14;";АПО;;;;
;"""Эверест-Дент"" ООО 620144, Свердловская обл, Екатеринбург г, Фрунзе ул, дом № 102А;";;;СС;;
;"""Кари"" ООО 620007, Свердловская обл, Екатеринбург г, Латвийская ул, дом № 14;";АПО;;СП;;
;"""Гелиос"" МК г.Екатеринбург"" ООО 620144, Свердловская обл, Екатеринбург г, Шейнкмана ул, дом № 132;";;;СС;;
;"""Дента-С г. Екатеринбург"" ООО 620000, Свердловская обл, Екатеринбург г, Первомайская ул, дом № 82/12, кв.пом.79-82;";;;СС;;
;"""Доктор Дент"" стоматология г. Екатеринбург ЗАО 620075, Свердловская обл, Екатеринбург г, Шевченко ул, дом № 23;";;;СС;;
;"""Беомед-Дент"" ООО 620026, Свердловская обл, Екатеринбург г, Бажова ул, дом № 195А;";;;СС;;
;"""МАЛКО"" ООО 620142, Свердловская обл, Екатеринбург г, Фрунзе ул, дом № 20;";АПО;;;;
;"""Яхонт-98"" ООО 620085, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 185/4;";;;СС;;
;"""Приор-М СЦ"" на Радищева ООО 620014, Свердловская обл, Екатеринбург г, Радищева ул, дом № 33, кв.48;";;;СС;;
;"""Эталон Стоматология"" ООО 620075, Свердловская обл, Екатеринбург г, Энгельса ул, дом № 27;";;;СС;;
;"""Ставко-2002"" (стоматология) ООО 620049, Свердловская обл, Екатеринбург г, Первомайская ул, дом № 118;";;;СС;;
;"""Приор-М"" на М.Жукова ООО 620014, Свердловская обл, Екатеринбург г, Маршала Жукова ул, дом № 14, кв.3;";;;СС;;
;"""Диагностика-2000"" ООО 620026, Свердловская обл, Екатеринбург г, Белинского ул, дом № 61;";АПО;;;;
;"""Приор-М Центр стоматологии"" на Шварца ООО 620073, Свердловская обл, Екатеринбург г, Академика Шварца ул, дом № 4;";;;СС;;
;"""Орхидея плюс МЦ"" ООО 620028, Свердловская обл, Екатеринбург г, Крылова ул, дом № 35;";АПО;;СП;;
;"""ГАЛАДЕНТ"" НМО ООО 620109, Свердловская обл, Екатеринбург г, Крауля ул, дом № 56;";;;СС;;
;"""Урсула"" ООО 620027, Свердловская обл, Екатеринбург г, Мельковская ул, дом № 9;";;;СС;;
;"""ЕМНЦ ПОЗРПП Роспотребнадзора""ФБУН"" 620014, Свердловская обл, Екатеринбург г, Попова ул, дом № 30;";АПО;;;Стац;
;"""Клиника сердца"" ООО 620000, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 78, корпус а;";АПО;;;;
;"""Адмирал"" г. Екатеринбург ООО 620014, Свердловская обл, Екатеринбург г, Юмашева ул, дом № 11;";;;СС;;
;"""ВЛАДИ"" г. Екатеринбург ООО 620050, Свердловская обл, Екатеринбург г, Техническая ул, дом № 27;";;;СС;;
;"""Арт-Класс"" клиника стоматологии ООО 620014, Свердловская обл, Екатеринбург г, Московская ул, дом № 19;";;;СС;;
;"""Континент-дент"" ООО 620075, Свердловская обл, Екатеринбург г, Ленина пр-кт, дом № 50, корпус Б;";;;СС;;
;"""КВАТРО-ФРАНК"" ООО 620146, Свердловская обл, Екатеринбург г, Амундсена ул, дом № 61;";;;СС;;
;"""Уральский центр кинезотерапии"" ул. Академическая ООО 620137, Свердловская обл, Екатеринбург г, Академическая ул, дом № 16;";АПО;;;;
;"""Полимед"" ООО 620027, Свердловская обл, Екатеринбург г, Мамина-Сибиряка ул, дом № 2А, кв.5;";;;СС;;
;"""ГКБ № 40 г. Екатеринбург""МАУЗ"" 620102, Свердловская обл, Екатеринбург г, Волгоградская ул, дом № 189;";АПО;;;Стац;
;"""Дорожная больница на ст. Свердловск-Пассажирский ""РЖД"" НУЗ 620107, Свердловская обл, Екатеринбург г, Гражданская ул, дом № 7;";АПО;;СП;Стац;
;"""Уралтрансмаш"" АО 620027, Свердловская обл, Екатеринбург г, Короленко ул, дом № 7;";АПО;ПНД;СП;Стац;
;"""ГБ № 36 Травматологическая"" МБУ"" 620007, Свердловская обл, Екатеринбург г, Центральная ул, дом № 2;";АПО;;СП;Стац;
;"""Уральский институт кардиологии"" ГБУЗ СО 620000, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 78, корпус А;";АПО;;;Стац;
;"""РА"" Стоматология ООО 620010, Свердловская обл, Екатеринбург г, Бородина ул, дом № 6;";;;СС;;
;"""Пионерская"" Стоматологическая поликлиника"" ООО 620137, Свердловская обл, Екатеринбург г, Учителей ул, дом № 18;";;;СС;;
;"""Гарант-Б"" ООО 620073, Свердловская обл, Екатеринбург г, Крестинского ул, дом № 55, корпус 1;";;;СС;;
;"""Леонардо"" г. Екатеринбург ООО 620144, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 86;";;;СС;;
;"""Мегадента Клиник Плюс"" ООО 620027, Свердловская обл, Екатеринбург г, Шевченко ул, дом № 9;";;;СС;;
;"""Стоматология для всех"" ООО 620026, Свердловская обл, Екатеринбург г, Декабристов ул, дом № 16, корпус 18;";;;СС;;
;"""Центр медицины катастроф""ГБУЗ СО"" 620000, Свердловская обл, Екатеринбург г, Малопрудная ул, дом № 6;";;;;;СМП
;"""РОСЭК Стоматология "" ООО 620075, Свердловская обл, Екатеринбург г, Шевченко ул, дом № 20, корпус А, кв.22;";;;СС;;
;"""Добрый Доктор"" г. Екатеринбург ООО 620102, Свердловская обл, Екатеринбург г, Белореченская ул, дом № 36, кв.1;";;;СС;;
;"""ИТА"" Стоматологическая клиника ООО 620017, Свердловская обл, Екатеринбург г, Старых Большевиков ул, дом № 33, кв.2;";;;СС;;
;"""Галактика"" Стоматологическая Клиника ООО 620102, Свердловская обл, Екатеринбург г, Московская ул, дом № 54;";;;СС;;
;"""НОВОДЕНТ"" Стоматологический салон ООО 620017, Свердловская обл, Екатеринбург г, Космонавтов пр-кт, дом № 42;";;;СС;;
;"""Антериор"" ООО 620142, Свердловская обл, Екатеринбург г, Большакова ул, дом № 75;";;;СС;;
;"""Хелсидент"" ООО 620109, Свердловская обл, Екатеринбург г, Анри Барбюса ул, дом № 6;";;;СП;;
;"""ТЕСТ"" (МЦ ""Антикоагулянт"") ООО 620144, Свердловская обл, Екатеринбург г, Циолковского ул, дом № 27;";АПО;;;;
;"""ЛИВОС"" ООО 620062, Свердловская обл, Екатеринбург г, Первомайская ул, дом № 68;";;;СС;;
;"""Премиум клиник"" ООО 620014, Свердловская обл, Екатеринбург г, Шейнкмана ул, дом № 90;";;;СС;;
;"""Катри"" ООО 620026, Свердловская обл, Екатеринбург г, Луначарского ул, дом № 210, корпус б;";;;СС;;
;"""Здоровое детство"" ООО 620089, Свердловская обл, Екатеринбург г, Онежская ул, дом № 2, корпус А;";АПО;;;;
;"""Евродент"" ООО 620089, Свердловская обл, Екатеринбург г, Родонитовая ул, дом № 25;";;;СС;;
;"""Скульптура"" ООО 620075, Свердловская обл, Екатеринбург г, Мамина-Сибиряка ул, дом № 70;";;;СС;;
;"""Солист"" ООО 620041, Свердловская обл, Екатеринбург г, Уральская ул, дом № 67;";;;СС;;
;"""Наша марка"" г. Екатеринбург ООО 620072, Свердловская обл, Екатеринбург г, Сыромолотова ул, дом № 11;";;;СС;;
;"""УРО-ПРО"" Международный медицинский центр"" ООО 620075, Свердловская обл, Екатеринбург г, Кузнечная ул, дом № 83;";АПО;;;;
;"""Белая Ладья на ул. Комсомольская"" ООО 620049, Свердловская обл, Екатеринбург г, Комсомольская ул, дом № 37;";;;СС;;
;"""Лотос-ЕКБ"" ООО 620014, Свердловская обл, Екатеринбург г, Антона Валека ул, дом № 13;";;;СС;;
;"""ГБ № 41"" ООО 620043, Свердловская обл, Екатеринбург г, Начдива Васильева ул, дом № 25;";АПО;;;Стац;
;"""Ситилаб-Урал"" ООО 620085, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 207;";АПО;;;;
;"""ТаКи-Дент"" ООО 620144, Свердловская обл, Екатеринбург г, Фурманова ул, дом № 67, кв.3;";;;СС;;
;"""Медполимерсервис"" ООО 620024, Свердловская обл, Екатеринбург г, Бисертская ул, дом № 1;";АПО;;;;
;"""Стоматология доктора Кашина"" ООО 620075, Свердловская обл, Екатеринбург г, Красноармейская ул, дом № 10, кв.701;";;;СС;;
;"""АЛЬФА-ФРАНК"" ООО 620042, Свердловская обл, Екатеринбург г, Бакинских комиссаров ул, дом № 99;";;;СС;;
;"""СОКБ №1"" ГБУЗ СО"" 620102, Свердловская обл, Екатеринбург г, Волгоградская ул, дом № 185;";АПО;;;Стац;
;"""СП № 1 г. Екатеринбург"" МАУ"" 620075, Свердловская обл, Екатеринбург г, Пушкина ул, дом № 1;";;;СС;;
;"""Объединение ""Стоматология"" АНО 620102, Свердловская обл, Екатеринбург г, Белореченская ул, дом № 26;
620135, Свердловская обл, Екатеринбург г, Фрезеровщиков ул, дом № 28";;;СС;;
;"""Дорожная стоматологическая поликлиника на ст. Свердловск-Сортировочный ОАО ""РЖД"" НУЗ 620050, Свердловская обл, Екатеринбург г, Таватуйская ул, дом № 21;";;;СС;;
;"""ПрофМед Медицинский Центр"" ООО 620041, Свердловская обл, Екатеринбург г, Блюхера ул, дом № 11;";АПО;;;;
;"""Медлайн"" г. Екатеринбург"" ООО 620010, Свердловская обл, Екатеринбург г, Грибоедова ул, дом № 32;";АПО;;;;
;"""ЛОР клиника"" г. Екатеринбург ООО 620130, Свердловская обл, Екатеринбург г, Юлиуса Фучика ул, дом № 3;";АПО;;;;
;"""Северная Казна Мед"" ООО 620026, Свердловская обл, Екатеринбург г, Розы Люксембург ул, дом № 67Б, корпус 3;";АПО;ПНД;;;
;"""СП № 12 г. Екатеринбург""МАУ"" 620050, Свердловская обл, Екатеринбург г, Техническая ул, дом № 28;";;;СС;;
;"""Центр лечения боли (Клиника Герасимова)"" ООО 620000, Свердловская обл, Екатеринбург г, Восточная ул, дом № 21Б;";АПО;;;;
;"""Шанс"" МЦ на Уральских Рабочих ООО 620042, Свердловская обл, Екатеринбург г, Уральских рабочих ул, дом № 55Б;";АПО;;СП;;
;"""ЦГКБ № 24"" МАУ 620085, Свердловская обл, Екатеринбург г, Рижский пер, дом № 16;";АПО;;;Стац;
;"""УрНИИДВиИ"" ГБУ СО 620023, Свердловская обл, Екатеринбург г, Щербакова ул, дом № 8;";АПО;;;;
;"""Диапекс"" ООО 620010, Свердловская обл, Екатеринбург г, Дагестанская ул, дом № 10;";;;СС;;
;"""Поликлиника УрО РАН"" ФГБУЗ 620016, Свердловская обл, Екатеринбург г, Краснолесья ул, дом № 14, корпус 1;";;;СС;;
;"""Лотос-ЕКБ"" ООО 620014, Свердловская обл, Екатеринбург г, Антона Валека ул, дом № 13;";;;СС;;
;"""МНТК ""Микрохирургия глаза"" АО 620149, Свердловская обл, Екатеринбург г, Академика Бардина ул, дом № 4А;";АПО;;;Стац;
;"""СП № 9 г. Екатеринбург"" ООО 620010, Свердловская обл, Екатеринбург г, Академика Губкина ул, дом № 76;";;;СС;;
;"""ОРИОН ДЕНТ"" ООО 620016, Свердловская обл, Екатеринбург г, Вильгельма де Геннина ул, дом № 33;";;;СС;;
;"""Практическая стоматология"" ООО 620041, Свердловская обл, Екатеринбург г, Уральская ул, дом № 60;";;;СС;;
;"""Изодент 4Д"" ООО 620014, Свердловская обл, Екатеринбург г, Радищева ул, дом № 31, кв.1-19;";;;СС;;
;"""Династия ""Стоматологическая клиника"" ООО 620142, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 45;";;;СС;;
;"""ЧТПЗ Медицинский центр"" отделение Первоуральское"" ЗАО 623100, Свердловская обл, Первоуральск г, Торговая ул, дом № 1;";АПО;;СП;;
;"""Ухо.Горло.Нос"" Клиника"" ООО 620089, Свердловская обл, Екатеринбург г, Луганская ул, дом № 2;";АПО;;;;
;"""Дентал-практик"" ООО 620041, Свердловская обл, Екатеринбург г, Красина ул, дом № 5;";;;СС;;
;"""Бонум"" НПЦ""ГУЗ СО ДКБВЛ"" 620149, Свердловская обл, Екатеринбург г, Академика Бардина ул, дом № 9А;";АПО;;СП;;
;"""Врчбн-фзкльтрнй диспансер Екатеринбург"" МАУ"" РЕОРГАНИЗАЦИЯ 620027, Свердловская обл, Екатеринбург г, Еремина ул, дом № 15;";АПО;;СП;;
;"""ЦСМТ"" (СМТ клиника) ООО
620144, Свердловская обл, Екатеринбург г, Серова ул, дом № 45";АПО;;;;
;"""ЦГКБ № 6"" МБУ Екатеринбург"" 620149, Свердловская обл, Екатеринбург г, Серафимы Дерябиной ул, дом № 34;";АПО;;;Стац;
;"""ЦГБ № 7""МБУ"" 620137, Свердловская обл, Екатеринбург г, Вилонова ул, дом № 33;";АПО;;;Стац;
;"""ЦГКБ № 23"" МАУ 620017, Свердловская обл, Екатеринбург г, Старых Большевиков ул, дом № 9;";АПО;;;Стац;
;"""Консилиум КДЦ"" ООО 620085, Свердловская обл, Екатеринбург г, Военная ул, дом № 22;";АПО;;СП;;
;"""Мараканд"" ООО 620085, Свердловская обл, Екатеринбург г, Агрономическая ул, дом № 31;";;;СС;;
;"""КЛИНИКА ДЕНТАЛ-ПРАКТИКА"" ООО 620075, Свердловская обл, Екатеринбург г, Мичурина ул, дом № 37;";;;СС;;
;"""ЦГБ № 3"" 620027, Свердловская обл, Екатеринбург г, Братьев Быковых ул, дом № 16;";АПО;;;Стац;
;"""Клиника ""Уральская"" ООО 620137, Свердловская обл, Екатеринбург г, Чекистов ул, дом № 16, кв.1;";АПО;;;;
;"""Фарма-Дент"" ООО 620039, Свердловская обл, Екатеринбург г, 40-летия Октября ул, дом № 3;";;;СС;;
;"""Уральский"" МЦ на Тольятти"" ООО 620102, Свердловская обл, Екатеринбург г, Пальмиро Тольятти ул, дом № 11, корпус а;";АПО;ПНД;;;
;"""Аврора стоматология"" ООО 620109, Свердловская обл, Екатеринбург г, Мельникова ул, дом № 40;";;;СС;;